rank,author_id,author_name,matched_works,total_works,matched_share,cited_by_count,orcid,flag_low_share,retained
25,A5068575636,J. Russell Stothard,236,454,0.5198237885462555,17684,https://orcid.org/0000-0002-9370-3420,FALSE,TRUE
26,A5047670715,Carlos Torres‐Verdín,229,606,0.3778877887788779,7756,https://orcid.org/0000-0001-6628-4833,FALSE,TRUE
27,A5100616675,Sang Yup Lee,229,3140,0.07292993630573248,80664,https://orcid.org/0000-0003-0599-3091,TRUE,FALSE
28,A5108047889,Yi-Xiang Wang,229,10477,0.021857401928032833,27699,https://orcid.org/0000-0001-5697-0717,TRUE,FALSE
29,A5014716343,Guohe Huang,227,1691,0.1342400946185689,52469,https://orcid.org/0000-0003-4974-3019,FALSE,TRUE
30,A5056640675,Bing‐Jie Ni,224,760,0.29473684210526313,42145,https://orcid.org/0000-0002-1129-7837,FALSE,TRUE
31,A5042867993,Dionysios D. Dionysiou,223,851,0.2620446533490012,94151,https://orcid.org/0000-0002-6974-9197,FALSE,TRUE
32,A5006623989,Xia Huang,221,830,0.26626506024096386,36836,https://orcid.org/0000-0003-4076-1464,FALSE,TRUE
33,A5112230293,Peggy Eastman,221,904,0.24446902654867256,260,NA,FALSE,TRUE
34,A5035395187,Shane A. Snyder,216,540,0.4,34247,https://orcid.org/0000-0003-2709-9840,FALSE,TRUE
35,A5012542760,Urs von Gunten,215,428,0.5023364485981309,54906,https://orcid.org/0000-0001-6852-8977,FALSE,TRUE
36,A5018881039,Manuel J. Rodríguez,213,282,0.7553191489361702,7764,https://orcid.org/0000-0003-2010-6438,FALSE,TRUE
37,A5073836005,Jiuhui Qu,213,929,0.22927879440258342,56444,https://orcid.org/0000-0001-9177-093X,FALSE,TRUE
38,A5023705297,Thomas Clasen,210,376,0.5585106382978723,20638,https://orcid.org/0000-0003-4062-5788,FALSE,TRUE
39,A5050508415,Graham A. Gagnon,210,343,0.6122448979591837,6620,https://orcid.org/0000-0001-5925-2294,FALSE,TRUE
40,A5077700424,Xiaochang C. Wang,209,697,0.2998565279770445,23362,https://orcid.org/0000-0003-1320-6326,FALSE,TRUE
41,A5100783614,In Ho Kim,205,1390,0.1474820143884892,21014,https://orcid.org/0000-0001-6652-2504,FALSE,TRUE
42,A5042318951,Aijie Wang,202,739,0.2733423545331529,30454,https://orcid.org/0000-0001-8868-5232,FALSE,TRUE
43,A5029824968,Alexandria B. Boehm,200,526,0.38022813688212925,22379,https://orcid.org/0000-0002-8162-5090,FALSE,TRUE
44,A5069748637,Heng Liang,199,477,0.4171907756813417,22363,https://orcid.org/0000-0002-9100-6007,FALSE,TRUE
45,A5003823609,Rita R. Colwell,197,1057,0.18637653736991486,75933,https://orcid.org/0000-0001-5432-1502,FALSE,TRUE
46,A5040371336,Maria Rosaria Milana,197,379,0.5197889182058048,2181,https://orcid.org/0000-0002-1707-2911,FALSE,TRUE
47,A5069888950,Jörg E. Drewes,197,546,0.3608058608058608,23173,https://orcid.org/0000-0003-2520-7596,FALSE,TRUE
48,A5010786159,Courtney D. DiNardo,196,1694,0.11570247933884298,50233,https://orcid.org/0000-0001-9003-0390,FALSE,TRUE
49,A5000458806,María Molinos‐Senante,191,303,0.6303630363036303,8767,https://orcid.org/0000-0002-6689-6861,FALSE,TRUE
50,A5035739059,Matthew C. Freeman,190,279,0.6810035842293907,15930,https://orcid.org/0000-0002-1517-2572,FALSE,TRUE
51,A5047645117,Edward T. Ryan,190,483,0.39337474120082816,20364,https://orcid.org/0009-0005-0169-394X,FALSE,TRUE
