source,paperid,doi,file_name,format,parse_status,n_tables,max_table_rows,n_images,n_words_prose,has_observation_table,any_summary_table,n_sheets,max_sheet_rows,n_merged_ranges,multi_table_sheet,content_class
jwh,110854,10.2166/wh.2026.243,jwh0240239supp1.docx,docx,ok,0,0,0,6544,FALSE,FALSE,NA,NA,NA,NA,prose only
jwh,110825,10.2166/wh.2026.252,jwh0240278supp1.docx,docx,ok,2,21,0,62,TRUE,FALSE,NA,NA,NA,NA,observation tables
jwh,111119,10.2166/wh.2026.076,jwh0240324supp1.docx,docx,ok,1,3,0,888,FALSE,FALSE,NA,NA,NA,NA,summary tables
jwh,111056,10.2166/wh.2026.197,jwh0240387supp1.docx,docx,ok,5,15,0,338,FALSE,TRUE,NA,NA,NA,NA,summary tables
jwh,111190,10.2166/wh.2026.212,jwh0240415supp1.docx,docx,ok,0,0,0,20447,FALSE,FALSE,NA,NA,NA,NA,prose only
jwh,111103,10.2166/wh.2026.234,jwh0240432supp1.docx,docx,ok,1,16,0,814,TRUE,FALSE,NA,NA,NA,NA,observation tables
jwh,111219,10.2166/wh.2026.273,jwh0240446supp1.docx,docx,ok,1,29,0,13,TRUE,FALSE,NA,NA,NA,NA,observation tables
jwh,111219,10.2166/wh.2026.273,jwh0240446supp2.docx,docx,ok,1,8,0,47,FALSE,TRUE,NA,NA,NA,NA,summary tables
jwh,111151,10.2166/wh.2026.281,jwh0240460supp1.docx,docx,ok,7,13,0,1631,FALSE,TRUE,NA,NA,NA,NA,summary tables
jwh,111256,10.2166/wh.2026.173,jwh0240518supp1.docx,docx,ok,7,270,0,670,TRUE,TRUE,NA,NA,NA,NA,observation tables
jwh,111246,10.2166/wh.2026.237,jwh0240607supp1.docx,docx,ok,0,0,0,322,FALSE,FALSE,NA,NA,NA,NA,prose only
jwh,111740,10.2166/wh.2026.075,jwh0240651supp1.docx,docx,ok,1,5,0,653,FALSE,FALSE,NA,NA,NA,NA,summary tables
jwh,111631,10.2166/wh.2026.030,jwh0240693supp1.docx,docx,ok,2,12,0,1282,FALSE,TRUE,NA,NA,NA,NA,summary tables
aqua,29030,10.2166/aqua.2009.103,0003.pdf,pdf,not_attempted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted
aqua,29056,10.2166/aqua.2012.079,079.pdf,pdf,not_attempted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted
aqua,29060,10.2166/aqua.2012.005,005.pdf,pdf,not_attempted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted
aqua,31188,10.2166/aqua.2012.047,047.pdf,pdf,not_attempted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted
aqua,31189,10.2166/aqua.2012.070,070.pdf,pdf,not_attempted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted
aqua,29195,10.2166/aqua.2013.060,037.pdf,pdf,not_attempted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted
aqua,29200,10.2166/aqua.2013.115,060.pdf,pdf,not_attempted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted
aqua,29201,10.2166/aqua.2013.037,115.pdf,pdf,not_attempted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted
aqua,28954,10.2166/aqua.2013.081,081.pdf,pdf,not_attempted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted
aqua,29007,10.2166/aqua.2014.021,021.pdf,pdf,not_attempted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted
aqua,29243,10.2166/aqua.2014.135,135.pdf,pdf,not_attempted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted
aqua,29314,10.2166/aqua.2015.123,123.pdf,pdf,not_attempted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted
aqua,29016,10.2166/aqua.2015.086,jws2015086supp.pdf,pdf,not_attempted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted
aqua,29230,10.2166/aqua.2016.030,jws2016030supp.docx,docx,ok,0,0,0,616,FALSE,FALSE,NA,NA,NA,NA,prose only
aqua,29236,10.2166/aqua.2016.001,jws2016001supp.docx,docx,ok,2,10,0,3668,FALSE,FALSE,NA,NA,NA,NA,summary tables
aqua,29176,10.2166/aqua.2016.012,jws2016012supp.docx,docx,ok,0,0,0,438,FALSE,FALSE,NA,NA,NA,NA,prose only
aqua,29284,10.2166/aqua.2016.102,jws2016102supp.docx,docx,ok,0,0,0,13,FALSE,FALSE,NA,NA,NA,NA,prose only
aqua,29251,10.2166/aqua.2017.027,jws2017027supp.docx,docx,ok,0,0,0,532,FALSE,FALSE,NA,NA,NA,NA,prose only
aqua,29179,10.2166/aqua.2017.049,jws2017049supp.docx,docx,ok,1,14,0,24,FALSE,FALSE,NA,NA,NA,NA,summary tables
aqua,29191,10.2166/aqua.2017.099,jws2017099supp.docx,docx,ok,0,0,19,772,FALSE,FALSE,NA,NA,NA,NA,figures
aqua,29346,10.2166/aqua.2017.083,jws2017083supp.docx,docx,ok,2,22,0,983,TRUE,FALSE,NA,NA,NA,NA,observation tables
aqua,29352,10.2166/aqua.2017.106,jws2017106supp.docx,docx,ok,0,0,0,910,FALSE,FALSE,NA,NA,NA,NA,prose only
