source,doi,das_in_paper_support,openalex_type,title_front_matter,trivially_true
washdev,10.2166/washdev.2024.144,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.203,unstructured supplement,review,FALSE,TRUE
washdev,10.2166/washdev.2024.209,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.115,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.120,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.172,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.380,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.214,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.220,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.249,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.250,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.280,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.114,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.148,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.284,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2025.239,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.243,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2024.234,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2025.238,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2025.237,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2025.267,structured supplement,review,FALSE,TRUE
washdev,10.2166/washdev.2025.001,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2025.270,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2025.322,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2025.330,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2025.241,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2025.244,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2025.247,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2025.281,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2025.285,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2025.306,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2025.337,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2025.102,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2025.020,no supplement,article,TRUE,TRUE
washdev,10.2166/washdev.2025.284,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2025.299,unstructured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2025.301,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2025.340,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2025.101,structured supplement,review,FALSE,TRUE
washdev,10.2166/washdev.2025.017,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2025.333,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2025.039,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2025.041,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2025.008,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2025.016,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2025.147,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2025.309,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2025.349,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2025.005,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2025.053,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2025.346,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2025.038,no supplement,article,FALSE,FALSE
